Participant ID,Condition,Average Speed (mph),Speed StdDev (mph),Max Speed (mph)
01_RT,A,5.5895385083007785,0.6032921212002976,6.947469592467503
01_RT,C,5.431386018260333,1.0442317852406704,7.442481055839387
01_RT,B,4.797044625366322,1.1316777815675585,7.298915956720838
24_OL,A,2.0844414710882173,0.4095329520995199,3.358690784971529
24_OL,C,1.6654884122423959,0.6041810007803434,3.393824037383349
24_OL,B,2.1174962015373446,0.6753079518352306,4.347673064814107
10_OL,A,3.4513101327808644,0.9835673650405621,5.763498838257683
10_OL,C,3.340665755289922,1.2239697152680609,6.59196217751782
10_OL,B,4.0637772848401355,1.11920262623612,6.740530915827964
11_RT,A,4.442113533091593,1.236935031702876,7.0883261907151445
11_RT,C,5.027593349343892,1.1319542510016245,6.806394134559006
11_RT,B,5.11134166761797,1.0378207891235107,7.108112237719973
04_OL,A,4.978476299239566,0.9647361646695097,6.7614785796394345
04_OL,C,5.358481967153528,1.2345028181170432,7.400140194469318
04_OL,B,5.727678121860859,0.763064163307785,7.023420335164545
05_RT,A,4.036512239652655,0.7283754899245054,6.460217152907259
05_RT,C,3.4515071012343608,0.9554519978722448,6.292928593957454
05_RT,B,3.533519981561843,0.6981272235555775,5.614888736483411
15_RT,A,1.989459215901426,0.49556948630868414,4.076841111866481
15_RT,C,2.054208157090645,0.7290954450473103,4.089734290355246
15_RT,B,2.1290558176171372,0.5639233771876664,4.42445224572325
14_OL,A,3.4997062552148774,0.7811877477885598,5.383044688773228
14_OL,C,3.0281788313936917,0.7522650969087533,5.446379116942488
14_OL,B,2.754067540234092,0.846551888688875,4.897163729792109
20_OL,A,3.337437991299686,0.9509541451164336,5.35681467057804
20_OL,C,2.475305306786664,0.8223814315870467,5.007436726980969
20_OL,B,2.5897556639710047,0.802884837635996,4.882898848340288
21_RT,A,3.4240572294872265,0.6796124703568817,5.305522606918434
21_RT,C,3.44807714722161,0.6380602558227187,5.2683381340112305
21_RT,B,3.3542944458593182,0.6115047011307583,5.20031326952178
08_OL,A,5.345892369185641,0.8720456119563035,6.905653463274417
08_OL,C,4.602950403617803,1.1288225151159372,6.928167978397353
08_OL,B,4.6443433155537495,0.9221295254661879,7.193922559883581
09_RT,A,3.0295806581164046,0.5888940126683507,4.469004230696292
09_RT,C,2.7173374013653806,0.6731629409898493,5.4204885371616776
09_RT,B,3.0461623122949977,0.6168626259750895,5.736639022509764
19_RT,A,2.269181092531414,0.6551194291017931,3.851664403655396
19_RT,C,2.892467549725332,0.7099562728130988,4.850072005108203
19_RT,B,2.7796344481959125,0.7514422303184284,4.907541571885147
18_OL,A,2.216334388263732,0.4563234936171844,3.69892878951964
18_OL,C,2.594959815638739,0.8598708328603415,4.991956456712149
18_OL,B,3.5398005564592436,1.0187688127079682,5.3572548665429665
07_RT,A,5.093509423915855,1.0329694539343381,6.924599401541546
07_RT,C,4.639489735465842,1.0325192968038879,6.717168759811513
07_RT,B,4.733111431277267,1.0202906164408694,6.937206994722684
06_OL,A,4.578570991343918,0.8201715692467799,6.4375475544855725
06_OL,C,2.3434444826975764,1.0542790939456324,5.252491549319512
06_OL,B,2.556705024264952,0.5932256442951674,4.77132272554839
16_OL,A,2.609355093602601,0.49391790201628977,3.657787523429698
16_OL,C,2.518532366611485,0.7695012872633317,5.010601357566859
16_OL,B,2.295868212754649,0.3357397812675612,3.321852165043352
17_RT,A,3.2844742941292373,0.6453181091410096,5.094437274608767
17_RT,C,3.037064420609694,0.649831672943415,4.924218159055532
17_RT,B,2.72365780091758,0.7062065619762943,4.561021070643707
23_RT,A,2.0405571668011313,0.5670394170426369,3.628637399964447
23_RT,C,2.108460712019607,0.5316716747303987,3.947640877137968
23_RT,B,1.9211801654239404,0.5505528799604914,3.6488283535442734
22_OL,A,2.246684205054665,0.7402496538488199,4.9499579124259006
22_OL,C,2.2180393754709042,0.6085297178850679,4.561902402736326
22_OL,B,2.836359883912388,0.6105717469577973,4.4211949054164545
02_OL,A,3.370332101563452,0.5113040519212108,4.995625983925597
02_OL,C,3.7717027024289154,1.0935610517931083,7.049296895898432
02_OL,B,4.304011064564446,0.8283082817777667,6.884945644964995
03_RT,A,3.7897800718937815,0.6252250720529782,5.479377305042549
03_RT,C,3.92256079828273,0.8930858178599005,6.488913521887141
03_RT,B,3.8484739059336386,0.6366120061583544,6.336706574784731
13_RT,A,3.771988423520294,0.49910501030237375,5.2209406755079915
13_RT,C,3.292799434825298,0.8588164548875082,4.925264777171938
13_RT,B,3.245565062731777,0.7539359900979216,5.155910428153642
12_OL,A,4.845861694521519,0.8441692006566183,6.65063857257094
12_OL,C,4.704993930513753,1.105172623101576,6.527366830677838
12_OL,B,4.608633502368965,0.9779586615277813,6.639316957512012
