Participant ID,Condition,Event ID,Question Timestamp (s),Answer Timestamp (s),Time Difference (s),Answer Accuracy,Confidence
01_RT,C_R,E16_../audio/C/Tar_PR.wav,514.32,518.35,4.03,Incorrect,5
01_RT,C_R,E17_../audio/C/ICE_P.wav,540.63,543.00,2.37,Correct,6
01_RT,C_R,E18_../audio/C/Cone_C.wav,576.12,582.46,6.34,Incorrect,4
01_RT,C_R,E19_../audio/C/Mark_P.wav,606.10,610.25,4.15,Correct,7
01_RT,C_R,E20_../audio/C/BendR_C.wav,630.83,634.08,3.25,Correct,7
01_RT,C_R,E21_../audio/C/Cone_A.wav,649.48,652.38,2.90,Correct,7
01_RT,C_R,E22_../audio/C/Toad_PR.wav,669.51,672.09,2.58,Correct,7
01_RT,C_R,E23_../audio/C/Constr_PR.wav,695.00,699.32,4.32,Correct,7
01_RT,C_R,E24_../audio/C/Cone_B.wav,721.81,725.66,3.85,Correct,5
01_RT,C_R,E25_../audio/C/ICE_C.wav,754.53,757.31,2.78,Correct,6
01_RT,C_R,E26_../audio/C/Tar_C.wav,778.83,783.94,5.11,Correct,7
01_RT,C_R,E27_../audio/C/Cone_A.wav,812.88,815.49,2.61,Correct,7
01_RT,C_L,E1_../audio/C/Duck_P.wav,33.99,37.17,3.18,Incorrect,7
01_RT,C_L,E2_../audio/C/Flood_PR.wav,62.69,67.58,4.89,Correct,6
01_RT,C_L,E3_../audio/C/Cone_E.wav,89.02,91.73,2.71,Correct,6
01_RT,C_L,E4_../audio/C/School_PR.wav,112.96,117.67,4.71,Correct,7
01_RT,C_L,E5_../audio/C/Deer_P.wav,142.99,147.59,4.60,Correct,6
01_RT,C_L,E6_../audio/C/Cone_F.wav,173.32,189.12,15.80,Incorrect,1
01_RT,C_L,E7_../audio/C/Blind_C.wav,218.56,221.11,2.55,Correct,6
01_RT,C_L,E8_../audio/C/Frost_P.wav,244.59,246.50,1.91,Correct,6
01_RT,C_L,E9_../audio/C/Cone_D.wav,266.34,271.23,4.89,Incorrect,4
01_RT,C_L,E10_../audio/C/Flood_C.wav,287.57,292.53,4.96,Correct,5
01_RT,C_L,E11_../audio/C/Duck_C.wav,313.01,317.59,4.58,Correct,6
01_RT,C_L,E12_../audio/C/Cone_E.wav,334.11,335.79,1.68,Correct,6
01_RT,C_L,E13_../audio/C/Deer_C.wav,354.95,360.81,5.86,Correct,5
01_RT,C_L,E14_../audio/C/School_C.wav,379.75,383.30,3.55,Correct,7
01_RT,C_L,E15_../audio/C/Cone_F.wav,398.61,401.74,3.13,Correct,7
01_RT,C_L,E16_../audio/C/Frost_PR.wav,419.08,422.39,3.31,Correct,6
01_RT,C_L,E17_../audio/C/Blind_P.wav,442.65,444.85,2.20,Correct,7
01_RT,C_L,E18_../audio/C/Cone_E.wav,463.22,467.27,4.05,Correct,7
01_RT,C_L,E19_../audio/C/Duck_PR.wav,482.44,484.71,2.27,Correct,7
01_RT,C_L,E20_../audio/C/Flood_P.wav,505.38,509.44,4.06,Correct,5
01_RT,C_L,E21_../audio/C/Cone_F.wav,525.82,528.91,3.09,Correct,7
01_RT,C_L,E22_../audio/C/School_P.wav,545.01,546.82,1.81,Correct,7
01_RT,C_L,E23_../audio/C/Deer_PR.wav,566.33,568.73,2.40,Correct,7
01_RT,C_L,E24_../audio/C/Cone_D.wav,587.91,590.43,2.52,Correct,7
01_RT,C_L,E25_../audio/C/Blind_PR.wav,605.94,611.42,5.48,Correct,7
01_RT,C_L,E26_../audio/C/Frost_C.wav,629.50,633.66,4.16,Incorrect,3
01_RT,C_L,E27_../audio/C/Cone_F.wav,666.70,668.84,2.14,Correct,7
02_OL,C_R,E1_../audio/C/Mark_P.wav,57.29,65.70,8.41,Correct,4
02_OL,C_R,E2_../audio/C/BendR_P.wav,92.08,97.01,4.93,Incorrect,5
02_OL,C_R,E3_../audio/C/Cone_C.wav,125.28,129.84,4.56,Correct,3
02_OL,C_R,E4_../audio/C/Toad_PR.wav,157.30,158.69,1.39,Correct,6
02_OL,C_R,E5_../audio/C/Constr_PR.wav,186.13,195.37,9.24,Correct,6
