Participant_ID,Condition,Reversals,Reversal_rate,Session_Length_min_sec,Throttle_SD,Throttle_CV
participant_01_RT,A,136,25.062117810381736,5:25,0.14354594180745467,0.272447023019773
participant_01_RT,C,565,50.33893397284073,11:13,0.4610202996489881,1.070692833205621
participant_01_RT,B,643,37.85459244497691,16:59,0.3000346313851765,0.5725026504041094
participant_24_OL,A,205,19.230137847256422,10:39,0.12845838876065122,0.17693412581155452
participant_24_OL,C,1056,59.4184754322047,17:46,0.37916433782135306,0.5682411644784535
participant_24_OL,B,659,45.021246749224595,14:38,0.22281090096955605,0.30590430919845946
participant_10_OL,A,566,70.72009129472328,8:00,0.23378324462023295,0.3372731643762349
participant_10_OL,C,923,63.46070547036323,14:32,0.26862560630976406,0.42119884151695636
participant_10_OL,B,629,42.23299993061881,14:53,0.2415008019599261,0.3806931015870372
participant_11_RT,A,152,25.38120510629771,5:59,0.20062445870302034,0.3532121573361828
participant_11_RT,C,577,66.3454794237027,8:41,0.5498398310972409,1.1755147875838632
participant_11_RT,B,518,40.959355614976786,12:38,0.450319561781892,0.9648415684694421
participant_04_OL,A,234,33.55071199676919,6:58,0.2183834441416628,0.40511344236428143
participant_04_OL,C,510,45.7084814626714,11:09,0.4479433524329561,1.0448864451955264
participant_04_OL,B,159,9.834524334777928,16:10,0.6089141049954632,0.8990112955039975
participant_05_RT,A,18,2.0443820192815507,8:48,0.10016161693490676,0.14704770648987014
participant_05_RT,C,398,32.26407905510023,12:20,0.1856724215639186,0.28676194229311036
participant_05_RT,B,76,5.338478252725434,14:14,0.1077084771921284,0.15139966369676575
participant_15_RT,A,281,27.387691782880253,10:15,0.1799355336762773,0.24087269510992268
participant_15_RT,C,577,44.259610356902236,13:02,0.31517539803232725,0.4973700858614375
participant_15_RT,B,452,24.675003275442915,18:19,0.19699723784246265,0.271080023080922
participant_14_OL,A,577,83.23315862864837,6:55,0.4227607285113369,0.863247031544923
participant_14_OL,C,931,80.38740223202402,11:34,0.6042227426523731,1.0631381644352844
participant_14_OL,B,854,72.02415423626846,11:51,0.28225032966299957,0.4464199241433042
participant_20_OL,A,401,65.30962353318006,6:08,0.25408165880454525,0.4471886952805828
participant_20_OL,C,968,83.7493403009093,11:33,0.41055073138988735,0.6985528943793837
participant_20_OL,B,686,64.11065162028925,10:42,0.25764074732431086,0.3823244833185839
